AverageMInFile,ExternalRiskEstimate,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,MSinceMostRecentTradeOpen,MSinceOldestTradeOpen,MaxDelq2PublicRecLast12M,MaxDelqEver,NetFractionInstallBurden,NetFractionRevolvingBurden,NumBank2NatlTradesWHighUtilization,NumInqLast6M,NumInqLast6Mexcl7days,NumInstallTradesWBalance,NumRevolvingTradesWBalance,NumSatisfactoryTrades,NumTotalTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,NumTradesOpeninLast12M,PercentInstallTrades,PercentTradesNeverDelq,PercentTradesWBalance,target
63,63,66,7,1,118,7,8,95,59,3,0,0,2,10,65,3,0,0,3,75,100,86,1
53,75,41,4,5,168,7,8,42,17,1,1,1,1,2,17,6,0,0,5,41,100,50,0
35,66,33,0,4,81,7,8,94,79,2,1,1,2,4,10,10,0,0,3,60,100,100,1
60,71,31,-1,1,183,7,8,49,41,2,5,5,3,6,15,25,0,0,4,24,100,69,1
117,81,59,0,2,191,7,8,62,15,2,3,3,0,6,40,6,0,0,5,7,100,26,0
49,68,81,-1,3,140,6,2,77,104,1,4,4,1,2,9,8,2,2,2,30,90,60,1
81,73,20,1,22,208,6,6,76,19,0,1,1,2,3,28,29,0,0,0,28,90,38,0
93,86,76,25,21,144,7,8,34,12,0,0,0,0,2,7,7,0,0,0,29,100,67,0
11,39,1,0,11,80,0,2,47,83,20,4,4,0,12,0,11,2,2,1,0,0,67,1
64,63,3,0,3,175,4,5,62,11,0,4,4,1,5,15,17,1,0,3,24,65,75,1
51,86,32,13,3,126,7,8,49,1,0,0,0,0,4,36,27,0,0,2,6,100,24,0
85,89,46,21,22,168,7,8,60,2,0,0,0,1,2,31,33,0,0,0,36,100,33,0
93,83,31,0,27,158,7,8,48,1,0,0,0,1,1,15,15,0,0,0,33,100,50,0
67,77,73,0,2,152,6,6,67,7,0,1,1,1,4,12,15,3,3,3,23,92,71,0
41,75,42,5,41,41,7,8,65,70,20,1,1,1,13,1,1,0,0,0,100,100,100,1
129,85,58,-1,16,364,6,6,34,3,20,2,1,1,1,14,14,0,0,0,36,93,67,1
102,73,78,0,6,323,7,8,90,47,3,2,1,2,8,31,38,0,0,1,19,100,59,0
50,63,6,0,1,129,3,2,52,17,0,4,4,1,2,6,12,3,2,2,33,75,75,1
92,81,55,-1,18,201,7,8,84,21,0,0,0,3,3,30,32,0,0,0,50,100,86,0
49,60,10,0,13,101,4,2,63,81,20,0,0,3,13,9,12,2,2,0,83,67,100,1
106,58,0,0,3,223,4,3,93,31,0,1,1,4,4,24,27,2,2,5,37,89,67,1
89,88,33,20,3,168,6,7,39,5,0,1,1,0,3,20,11,0,0,1,20,100,43,0
12,58,2,-1,5,295,4,6,64,29,0,0,0,1,7,9,18,0,0,6,11,89,89,1
65,83,57,-1,2,166,6,6,64,12,0,1,1,3,2,18,19,0,0,3,32,95,63,0
94,86,54,19,8,199,7,8,39,18,0,0,0,2,3,32,32,0,0,1,31,100,42,0
99,89,44,0,10,265,7,8,72,5,0,1,1,4,3,22,37,0,0,1,36,100,58,0
127,83,16,25,27,363,6,6,40,0,0,0,0,2,1,20,20,0,0,0,40,85,57,0
70,59,20,-1,1,219,5,2,49,45,3,1,1,1,5,9,8,2,2,2,8,62,100,1
37,68,33,0,15,69,7,8,51,86,1,1,1,1,4,11,11,0,0,0,27,100,83,1
87,89,77,22,4,218,7,8,48,9,0,0,0,1,1,24,10,0,0,2,35,100,20,0
30,71,23,0,3,74,6,5,94,13,0,0,0,5,3,14,17,1,0,4,53,76,80,1
63,73,61,-1,18,136,7,8,45,38,3,0,0,1,14,36,36,0,0,0,19,100,79,1
86,60,4,4,4,256,4,6,100,60,2,1,1,3,8,28,30,0,0,2,30,90,85,0
119,58,4,-1,6,168,4,6,68,84,4,0,0,5,5,30,31,0,0,1,42,81,73,1
