CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.1301566985631224,0.993466754631309,10.0,10.0,10.0,10.0,1.1951659830005126,0.9819087188398384,10.0,10.0,10.0,10.0,1.1388612406993084,0.9509885664773616,10.0,10.0,10.0,10.0,0.8499729413268033,0.9761534573975517,10.0,10.0,10.0,10.0,0.926585167028952,0.9924740671260961
True,0.4444444444444444,0.4444444444444444,0.6141950478233666,0.9418406098649772,1.169780140160716,0.9815764825634494,0.4444444444444444,0.772090006486055,0.9418406098649772,0.9418406098649772,1.1520557862138592,0.9760804267641937,0.4444444444444444,0.6141950478233666,0.6141950478233666,1.437239382871112,1.0478403200012998,0.9418198051737698,0.4444444444444444,0.9398432174505795,1.1095938208295015,1.6095938208295015,1.0467179699795583,0.9488660058207149,0.4444444444444444,0.9398432174505795,1.1095938208295015,1.6095938208295015,1.0351986882601272,0.9636603192960843
True,10.0,10.0,10.0,10.0,1.1515078676058228,0.9701669503377623,10.0,10.0,1.7291499061410565,2.4883523601287867,1.2888590643308173,0.9515284801065885,10.0,1.3333333333333333,1.7291499061410565,2.2368583330232594,0.999768255823948,0.9754149686884981,10.0,10.0,10.0,10.0,1.2178997096108062,1.002377588410123,10.0,10.0,10.0,10.0,1.3561779145965083,1.000387368032135
True,10.0,10.0,10.0,10.0,1.338851250579697,0.9314295176813824,10.0,10.0,10.0,10.0,1.1117984684148765,0.9460286566232528,10.0,10.0,10.0,10.0,1.2311929451468746,0.984068561964013,10.0,10.0,10.0,10.0,0.9976939889292428,0.9979860185366866,10.0,10.0,10.0,10.0,1.067354432879565,1.001104596771944
True,10.0,10.0,10.0,10.0,1.3416695489846258,0.9638534986737121,10.0,10.0,10.0,10.0,1.1401137507944885,0.956051004044145,10.0,10.0,10.0,10.0,1.1026139508748065,0.9963520511944163,10.0,10.0,10.0,10.0,1.043268376816449,0.9915439010652068,10.0,10.0,10.0,10.0,1.0270224988452956,0.9822647285485566
True,10.0,10.0,10.0,10.0,1.0882592668369426,0.9771421379760776,10.0,10.0,10.0,10.0,1.2542175789075602,0.9896827995513672,10.0,10.0,10.0,10.0,1.0780404545775581,0.9777432165545029,10.0,10.0,10.0,10.0,0.8331533268239462,0.9996298747447654,10.0,10.0,10.0,10.0,0.8062960745326849,0.9788678917325392
True,10.0,10.0,10.0,10.0,1.103572961137385,0.9929451038017667,10.0,10.0,10.0,10.0,1.1888670768780436,0.9528212971011449,10.0,10.0,1.0684959779178276,1.651829311251161,1.2319602165875045,0.9208445817085108,10.0,10.0,10.0,10.0,0.800511285800346,0.9418919083766442,10.0,10.0,10.0,10.0,0.7368056616336736,0.9240277077370138
True,10.0,10.0,10.0,10.0,1.022216611173525,0.9919694473169688,10.0,10.0,10.0,10.0,1.1383546899226276,0.9884310565088607,10.0,10.0,10.0,10.0,1.137074967805842,0.9692562537169895,10.0,10.0,10.0,10.0,0.9788048435627461,0.9846793481877374,10.0,10.0,10.0,10.0,0.8927365504986439,0.9756439110335849
True,10.0,10.0,10.0,10.0,1.1932814734541304,0.9634992279491088,10.0,10.0,10.0,10.0,2.5201403993844105,0.9190136966575565,10.0,10.0,10.0,10.0,1.1325270418962337,0.9509138094341105,10.0,10.0,10.0,10.0,0.6082521903842666,0.9971606008608218,10.0,10.0,10.0,10.0,0.6387941483511749,1.0113674196654716
True,10.0,10.0,10.0,10.0,14.463883687260548,0.8610371769319236,10.0,10.0,10.0,10.0,1.0952424093796351,0.9955804152334238,10.0,10.0,10.0,10.0,1.0970101257061031,0.9884608445862014,10.0,10.0,10.0,10.0,1.0024435556659923,0.9715837824175605,10.0,10.0,10.0,1.338607312058639,0.9933296052305074,0.9694327667562984
True,10.0,10.0,10.0,10.0,1.3453919761321258,0.9558847518628462,10.0,10.0,10.0,10.0,1.0356450891357916,0.9384301103319583,10.0,10.0,10.0,10.0,1.0945329815642055,0.9349488008046272,10.0,10.0,10.0,10.0,0.8629412019046534,0.9809759994227021,10.0,10.0,10.0,10.0,0.9428616749468846,0.9728154893683462
True,10.0,10.0,10.0,10.0,1.0448968473547817,0.966199848475639,10.0,10.0,10.0,10.0,1.144545289882082,0.9410143260256534,10.0,10.0,10.0,10.0,1.1671988301089988,0.9491430734945038,10.0,10.0,10.0,10.0,0.746842234249221,0.9692907942394215,10.0,10.0,10.0,10.0,0.7709605710209338,0.9706653163524166
True,10.0,10.0,10.0,10.0,1.1998715130486661,0.9178450316584277,10.0,10.0,10.0,10.0,1.1926550851058502,0.9358297774985503,10.0,10.0,10.0,10.0,1.2262417446846672,0.963054635279533,10.0,10.0,10.0,10.0,1.3086255494817247,0.9514386415981498,10.0,10.0,10.0,10.0,1.3544898771934146,0.9681658724281377
True,10.0,10.0,10.0,10.0,1.0445672578083813,0.9696141723042025,10.0,10.0,10.0,10.0,1.1238693007707725,0.9496521632433981,10.0,10.0,10.0,10.0,1.320091975479249,0.9830283838976648,10.0,10.0,10.0,10.0,0.8870011231378117,0.9832555513894496,10.0,10.0,10.0,10.0,0.895904304266011,0.9808831087555994
True,10.0,10.0,10.0,10.0,1.1360897651605666,0.9776269401381326,10.0,10.0,10.0,10.0,1.0653704387619352,0.9702817586909289,10.0,10.0,10.0,10.0,1.2338515315505725,0.9222518596746418,10.0,10.0,10.0,10.0,1.413638468388533,0.9689386344695275,10.0,10.0,10.0,10.0,1.3146587535401868,0.9833870927367183
True,10.0,10.0,10.0,10.0,1.012576344763365,0.977192539237999,10.0,10.0,10.0,10.0,1.2201001404352652,0.9494648256312495,10.0,10.0,10.0,10.0,1.1149734066272348,0.9615637832482775,10.0,10.0,10.0,10.0,1.0326950099048458,0.9622214970978087,10.0,10.0,10.0,10.0,1.0489601520444014,0.9600857854745705
True,10.0,10.0,10.0,10.0,1.2019724575582407,0.9874677408244787,10.0,10.0,10.0,10.0,1.1649885568446172,0.9583203962202422,10.0,10.0,10.0,10.0,1.022228885805195,0.9789166171983528,10.0,10.0,10.0,10.0,1.001831459929632,0.9774937963773356,10.0,10.0,10.0,10.0,0.979749789539443,0.9867235889693868
