CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,0.631341688171912,0.9691012579576658,10.0,10.0,10.0,10.0,0.5743936377718831,0.9808780933435248,10.0,10.0,10.0,10.0,0.5662190857560185,0.962575516543097,10.0,10.0,10.0,10.0,1.1689025952695276,0.9858567590291101,10.0,10.0,2.7606837606837606,5.0611039287509865,0.7609731176299875,0.9113229217944904
True,10.0,10.0,10.0,10.0,0.7323419795842158,0.9310482784251253,10.0,10.0,10.0,10.0,0.6592003630323028,0.9730977426975075,10.0,10.0,10.0,10.0,0.5905096601740248,0.9299247826354463,10.0,10.0,10.0,10.0,0.4294129679657447,0.981471776652785,10.0,10.0,10.0,10.0,0.2251162561090593,1.0058115311979836
True,10.0,10.0,10.0,10.0,0.5956816940087996,0.9611074963890414,10.0,10.0,10.0,10.0,0.5390996008592239,0.9643848270007087,10.0,10.0,10.0,10.0,0.5786584686379116,1.0026231756181414,10.0,10.0,10.0,10.0,0.6439249693927035,0.9878924631417643,10.0,10.0,10.0,10.0,0.5613013891063748,0.915741422753708
True,10.0,10.0,10.0,10.0,0.6144123965709705,0.9904024591547433,10.0,10.0,10.0,10.0,0.685102490455052,0.8832715801800808,10.0,10.0,10.0,1.2147675301380223,0.6848713906993897,0.9778897258657567,10.0,10.0,10.0,1.5020541549953315,0.5580778842537122,0.970905262198546,10.0,10.0,10.0,1.9174387703799478,0.17440552433049814,1.0024136390937308
True,10.0,10.0,10.0,10.0,0.5688859674448807,0.9889340794863983,10.0,10.0,10.0,10.0,0.6801470669220915,0.9569203605147404,10.0,10.0,10.0,10.0,0.48464074161548654,0.946769954671083,10.0,10.0,10.0,10.0,0.6682336374955671,1.002049344689202,10.0,10.0,10.0,10.0,0.7506296366616618,0.9692909343357193
True,10.0,10.0,10.0,1.1531279178337999,0.6968444672205336,0.9630426815582054,10.0,10.0,10.0,1.1531279178337999,0.5097562126674762,0.9705587924057643,10.0,10.0,10.0,1.1531279178337999,0.6947455612546063,0.9809438663398129,10.0,10.0,0.8314758527524542,1.1844170292230425,0.1945442892910674,0.9799219089355053,10.0,10.0,0.8314758527524542,1.1844170292230425,0.4057686473620013,0.9896219563700152
True,0.36507936507936495,0.541549953314659,0.5841031448040157,1.3958678506863684,0.534118924739948,0.9837512279840839,10.0,0.541549953314659,0.9533146591970117,1.4088702147525671,0.5443066813576136,0.9204644789650599,10.0,0.541549953314659,0.941549953314659,1.4088702147525671,0.6308540771973277,0.9664514489528114,10.0,0.541549953314659,0.5971055088702144,1.3135612050727459,0.3409802159226002,0.9869314664164539,10.0,0.541549953314659,0.5971055088702144,0.9561143965621027,0.41062571803045145,0.9948420435849925
True,10.0,10.0,10.0,10.0,0.6479900456042939,0.9058300018581054,10.0,10.0,10.0,1.0140415140415144,0.5346830816302831,0.9605753080472587,10.0,10.0,10.0,1.0140415140415144,0.6399080438169683,0.9594625698109768,10.0,10.0,0.6111111111111109,0.8992364878440837,0.0,0.9907254669545453,10.0,10.0,10.0,0.7539682539682551,0.40495785144724933,0.9868861100071161
True,10.0,10.0,10.0,10.0,0.7769310395183104,0.9463342262014086,10.0,10.0,10.0,10.0,0.5687200979091992,0.9472252719540654,10.0,10.0,0.9281045751633985,10.0,0.6089154259154657,0.9621650651240978,10.0,0.7941176470588234,0.9274509803921565,1.6050384710846357,0.6869887721810273,0.9422973252570112,10.0,0.7941176470588234,1.2058823529411762,1.6796412181893863,0.6472946860606418,0.9458671126373958
True,10.0,10.0,10.0,10.0,0.5835281531820372,0.9834068902694136,10.0,10.0,10.0,10.0,0.7284249681660351,0.95306129018508,10.0,10.0,10.0,10.0,0.8299453149900934,0.9150366407746858,10.0,10.0,10.0,10.0,0.6169726236967334,0.9959750627321531,10.0,10.0,10.0,10.0,0.5390387930844167,0.96756490335114
