CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0879608840991868,1.1301566985631224,0.9873155888732968,0.1111111111111111,0.9768497729880756,1.0879608840991868,1.0954482808118915,1.1951659830005126,0.9786523631814168,0.8657386618769646,0.9768497729880756,0.9768497729880756,0.9843371697007803,1.286787689694729,0.9730240127234058,10.0,0.8933460238401547,1.0044571349512659,1.0119445316639706,1.122037454185135,0.9863983187127332
True,10.0,10.0,10.0,10.0,1.2215927805978597,0.9875436607208625,10.0,10.0,10.0,10.0,0.9728514417186801,0.9909131009591805,10.0,10.0,10.0,10.0,1.1958914220911454,1.0025727550559334,10.0,10.0,10.0,10.0,0.8099777291096524,0.9830154933325679
True,10.0,10.0,10.0,10.0,1.0191529653618274,0.9816334651352576,10.0,10.0,10.0,10.0,1.1405927423438873,0.9686555851075151,10.0,10.0,10.0,10.0,1.020139673007237,0.9595152933498403,10.0,10.0,10.0,10.0,0.7435782874669787,0.975156782382794
True,10.0,10.0,10.0,10.0,1.338851250579697,0.9469988213333551,10.0,10.0,10.0,10.0,1.1117984684148765,0.9604309865267636,10.0,10.0,10.0,10.0,1.0423527620122248,0.9428018718020421,10.0,10.0,10.0,10.0,0.8832249895058626,0.9718659447271822
True,10.0,10.0,10.0,10.0,1.2253054019355587,0.947220962768014,10.0,10.0,10.0,10.0,1.198383332155555,0.9681830868855675,10.0,10.0,10.0,10.0,1.1990024625225344,0.9855869532551779,10.0,10.0,10.0,10.0,1.0377764827180693,0.9660116566824675
True,10.0,10.0,10.0,10.0,1.2916363272891458,0.9658935651955434,10.0,10.0,10.0,10.0,1.2104953255931075,0.9836494153330533,10.0,10.0,10.0,10.0,1.162314482629442,0.9535289628417629,10.0,10.0,10.0,10.0,1.1566297730495645,0.9630012312135886
True,10.0,10.0,10.0,1.1061301218859008,1.3516502320243606,0.9872150637546661,10.0,0.8214892285688746,0.9381558952355413,1.1061301218859008,1.2223409399593776,0.9508975405733926,10.0,10.0,10.0,0.9950190107747897,1.1444989779646177,0.9582589484878241,0.7103781174577636,0.878352344108123,1.378352344108123,1.6061301218859008,1.075393878364028,0.9879023598892148
True,10.0,10.0,10.0,10.0,1.1265029899573136,0.9957556810386083,10.0,10.0,10.0,10.0,1.436003484628591,0.9607225131858173,10.0,10.0,10.0,10.0,1.1700253826126956,0.9713398146120055,10.0,10.0,10.0,10.0,0.7625793973917707,0.9760513950010463
True,10.0,10.0,10.0,10.0,1.1214089922063921,0.9940353490966316,10.0,10.0,0.7574949578438537,1.2641411746127698,1.1427074763227838,1.004840670461117,10.0,10.0,10.0,10.0,1.1865823249510774,0.9729685418367179,10.0,10.0,10.0,10.0,0.9854421813456595,0.9642859270636999
True,10.0,10.0,10.0,10.0,1.293131925686556,0.9225353563952879,10.0,10.0,10.0,10.0,1.100963771632087,0.9670023489621128,10.0,10.0,10.0,10.0,1.1345264055179656,0.9483920617561299,10.0,10.0,10.0,10.0,1.3479558528774382,0.9806376170231605
True,10.0,10.0,10.0,10.0,1.2037950140737423,0.946227068127192,10.0,10.0,10.0,10.0,1.2645646936227526,0.9813869920702171,10.0,10.0,10.0,10.0,1.1938461321873701,0.9711945552305525,10.0,10.0,10.0,10.0,0.9148128660344879,0.9747776172593345
True,10.0,10.0,10.0,10.0,1.2048559414241973,0.9733108616031183,10.0,10.0,10.0,10.0,1.1262430182999856,0.9784570004680597,10.0,10.0,10.0,10.0,1.1184082658138998,0.9543642624716346,10.0,10.0,10.0,10.0,1.130500413128178,1.0003541448109343
True,10.0,10.0,10.0,10.0,1.0883372361358947,0.9780641140715364,10.0,10.0,10.0,10.0,1.0890929398164242,0.9639683138455352,10.0,10.0,10.0,10.0,1.2683208500951646,0.9856782095715083,10.0,10.0,10.0,10.0,1.0906043261786063,1.0013429207742344
True,10.0,10.0,10.0,10.0,1.1060849026812427,0.9943289320998302,10.0,10.0,10.0,10.0,1.4149017542358502,0.969150540097942,10.0,10.0,10.0,10.0,1.0604971611637437,0.9831272074616978,10.0,10.0,10.0,10.0,1.0703507444127474,0.9910536209853429
True,10.0,10.0,10.0,10.0,1.1262526893706233,0.9552483959049379,10.0,10.0,10.0,10.0,1.158823326495534,0.9528766979340523,10.0,10.0,10.0,10.0,1.2214097588736927,0.9605985761387987,10.0,10.0,10.0,10.0,0.7928046036949555,0.9698986565064229
True,10.0,10.0,10.0,10.0,1.1062445620721215,0.9098456174297656,0.5,10.0,10.0,1.0792475582164476,1.055356016644548,0.9872854662969198,0.1111111111111111,0.1111111111111111,0.20160190865712335,0.780849466873571,1.246426771562954,0.987067203250381,10.0,10.0,10.0,10.0,0.7274696072508829,0.9885291049596766
True,10.0,10.0,10.0,10.0,1.1266232443328488,0.983845676436899,10.0,10.0,10.0,10.0,1.0246078490020603,0.9907542160097451,10.0,10.0,10.0,10.0,1.142678791526916,0.9887171004651327,10.0,10.0,10.0,10.0,1.316462935996959,0.9580818359400818
True,10.0,10.0,10.0,10.0,1.1275708456548732,0.9694903129686763,10.0,10.0,10.0,10.0,1.0325001658661468,0.9518468064993926,10.0,10.0,10.0,10.0,0.9560441828378673,0.9447576588166042,10.0,10.0,10.0,10.0,0.9238618468578487,0.9712457904199902
True,10.0,10.0,10.0,10.0,1.1890466615397455,0.9724111257289193,10.0,10.0,10.0,10.0,1.3778105751840077,0.9697756979707617,10.0,10.0,10.0,10.0,1.2167508535118778,0.9540837632118169,10.0,10.0,10.0,10.0,1.0537461804210384,0.991973667026792
True,10.0,10.0,10.0,10.0,1.3355771806167993,0.9381520446164284,10.0,10.0,10.0,10.0,1.1239790044434492,0.9591979801414553,10.0,10.0,10.0,1.0944931672118978,1.3508751971255075,0.949982558096883,10.0,10.0,0.9833820561007867,1.0500487227674533,0.9070921845581355,0.9831646129417975
True,10.0,10.0,10.0,10.0,1.223803442516369,0.9672335513430493,10.0,10.0,10.0,10.0,1.4227644046694248,0.9077796992290447,10.0,10.0,10.0,10.0,1.2625342182216372,0.9819107404987569,10.0,10.0,10.0,10.0,0.8229986743847231,0.9808353201923599
True,10.0,10.0,10.0,10.0,1.1149962916681102,0.9787030855114954,10.0,10.0,10.0,10.0,1.2190812467889787,0.9572329028543196,10.0,10.0,10.0,10.0,1.1717430353762468,0.9793196330645397,10.0,10.0,10.0,10.0,0.9208274583434433,0.9755839111210307
True,10.0,10.0,10.0,10.0,1.141305265426101,0.9532944743021684,10.0,10.0,10.0,10.0,1.0820027039242162,0.9817926451556795,10.0,10.0,10.0,10.0,1.09510904627139,0.959437664420505,10.0,10.0,10.0,10.0,0.7550971851686152,0.9682391603375384
