CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.857010780313384,0.9493427002335396,10.0,10.0,10.0,10.0,1.437239942638311,0.9963714869866953,10.0,10.0,10.0,10.0,1.2874017804162907,0.9747992679028208,10.0,10.0,10.0,10.0,1.478423228813457,0.9854180437001447
True,10.0,10.0,10.0,10.0,1.7289174857937901,0.9361106682222882,10.0,10.0,10.0,10.0,1.4834026602412105,0.967120899669825,10.0,10.0,10.0,10.0,1.709824241971304,0.9464917494129399,10.0,10.0,10.0,10.0,1.5155132903639086,0.9566352015370718
True,10.0,10.0,10.0,10.0,1.6212274423137907,0.9742125258302062,10.0,10.0,10.0,10.0,1.7492198930111595,0.9289764911938725,10.0,10.0,10.0,10.0,1.5492144844240168,0.9342838534438762,10.0,10.0,10.0,10.0,1.2899927187952673,0.9881508197566173
True,10.0,10.0,10.0,10.0,2.1157871034828135,0.8986547637136505,10.0,10.0,10.0,10.0,1.7006307442214275,0.9056895811021277,10.0,10.0,10.0,10.0,1.344514486704013,0.9625052768787026,10.0,10.0,10.0,10.0,1.2649838262307793,0.9943766140348014
True,10.0,10.0,10.0,10.0,1.3947802797203728,0.9896280735175509,10.0,10.0,10.0,10.0,1.1717518183664646,1.0006179416410839,10.0,10.0,10.0,10.0,1.309760272012124,0.9583787008246111,10.0,10.0,10.0,10.0,1.4413945485680912,0.995514320359191
True,10.0,10.0,10.0,10.0,1.6072487482780928,0.9493351430556286,10.0,10.0,10.0,10.0,1.4931568647636955,0.9568940059928739,10.0,10.0,10.0,10.0,1.4766395643248567,0.9647659454958871,10.0,10.0,10.0,1.7514705882352941,1.1905608117416293,0.9903480804549888
True,10.0,10.0,10.0,10.0,1.8381865573789196,0.8965010263011584,10.0,10.0,10.0,10.0,1.564836737552985,0.9570349032029049,10.0,10.0,10.0,10.0,2.142950653516055,0.9071085728242565,10.0,10.0,10.0,10.0,1.084019997288746,0.9954854042709638
True,10.0,10.0,0.7551020408163265,1.3369202226345085,1.4841302835498418,0.9848034462839447,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.2551020408163267,1.6051711466250336,0.9507699136084004,0.4,1.1551020408163266,1.1551020408163266,1.4369202226345086,1.7433777168624438,0.9501580637735071,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.5732838589981448,1.59570315717821,0.9697142641858265
True,10.0,10.0,10.0,10.0,1.6180728220988563,0.932554709443726,10.0,10.0,10.0,10.0,2.075811732859461,0.9138620664697544,10.0,10.0,10.0,10.0,1.6641952055512004,0.9429699359313158,10.0,10.0,10.0,10.0,1.7718512892616822,0.9975637582706037
True,10.0,10.0,10.0,10.0,1.8476069751674444,0.9256795844829746,10.0,10.0,10.0,10.0,1.7467645822414002,0.9170469472802519,10.0,10.0,10.0,10.0,1.7271903630322196,0.9322114249105627,10.0,10.0,10.0,10.0,0.9676042215332167,1.0076458471675713
True,10.0,10.0,10.0,10.0,1.6946837676271396,0.9365728927406378,10.0,10.0,10.0,10.0,1.8714935397078818,0.9469025499172595,10.0,10.0,10.0,10.0,1.468827148895785,0.9893829092113178,10.0,10.0,10.0,10.0,1.1124990189777042,0.9312053578024724
True,10.0,10.0,10.0,10.0,1.8012351218650564,0.944083064133531,10.0,10.0,10.0,10.0,1.5383554627796265,0.9200983695111609,10.0,10.0,10.0,10.0,1.644914506788052,0.9469711128248235,10.0,10.0,10.0,10.0,1.6849114935437648,1.004750523538397
