CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.857010780313384,0.9564810191119711,10.0,10.0,10.0,10.0,1.437239942638311,0.9925949894333698,10.0,10.0,10.0,10.0,1.7510448500141145,0.9276034079613378,10.0,10.0,10.0,10.0,1.427056620251015,0.9193543997291661,10.0,10.0,10.0,10.0,1.4580036752543282,0.9242172100199187
True,10.0,10.0,10.0,10.0,1.7529751982354793,0.9178090282983096,10.0,10.0,10.0,10.0,1.4639200749324166,0.965844766937456,10.0,10.0,10.0,10.0,1.2946566878860626,0.9545500385022926,10.0,10.0,10.0,10.0,2.126084429599585,0.9263365301894796,10.0,10.0,10.0,10.0,2.0129878495888214,0.9429593050194981
True,10.0,10.0,10.0,10.0,1.5034482789278314,0.9434337806968708,10.0,10.0,10.0,10.0,1.4601293292547715,0.9301669786806966,10.0,10.0,10.0,10.0,1.4122358643179491,0.9763009409724868,10.0,10.0,10.0,10.0,1.3886681255902356,0.9650518701934562,10.0,10.0,10.0,10.0,1.388911208249619,0.9823305395213142
True,10.0,10.0,10.0,10.0,1.5676540461055972,0.9546176533524479,10.0,10.0,10.0,10.0,1.7270262657056694,0.9446561282557658,10.0,10.0,10.0,10.0,1.3723645597159913,0.982613688014089,10.0,10.0,10.0,10.0,1.7015810995716265,0.9606806993334445,10.0,10.0,10.0,10.0,1.6400274090646125,0.9158075332634044
True,10.0,10.0,10.0,10.0,1.7122649145107356,0.9607600820855678,10.0,10.0,10.0,10.0,1.3198231556683364,0.9764693235784467,10.0,10.0,10.0,10.0,1.7425527132168903,0.9412949578765091,10.0,10.0,10.0,10.0,1.114872421398948,1.0031099947037967,10.0,10.0,10.0,10.0,1.0619142654225706,1.0031407391782046
True,10.0,10.0,10.0,10.0,1.6081992424907228,0.9504742110590912,10.0,10.0,10.0,10.0,1.4128266428051548,0.9586221670652243,10.0,10.0,10.0,10.0,1.7349604700477603,0.9323108159369216,10.0,10.0,10.0,10.0,0.9660933658967487,1.0184712264093132,10.0,10.0,10.0,10.0,0.9611818828633716,1.0085887365845665
True,10.0,10.0,10.0,1.6795454545454547,1.6766121754702283,0.9285640947171142,10.0,10.0,10.0,1.6795454545454547,1.6000411243327595,0.9323767869340849,10.0,10.0,10.0,10.0,1.4403367190672771,0.9388383340175162,10.0,0.975,0.975,1.975,1.8204153577844866,0.985812458918607,10.0,0.975,0.975,0.975,1.8212847213453287,0.962862636542179
True,10.0,10.0,10.0,10.0,1.7695009716004493,0.951768113991665,10.0,10.0,10.0,10.0,2.1045630811463427,0.9145009936291746,10.0,10.0,10.0,10.0,1.6168306776180092,0.9391523155560308,10.0,10.0,10.0,10.0,1.9756210776329908,0.9463175190182875,10.0,10.0,10.0,10.0,1.9828334109883727,0.9456708454924116
True,10.0,10.0,10.0,10.0,1.5474132734854085,0.942057666089025,10.0,10.0,10.0,10.0,1.3562845550074605,0.9294936491927283,10.0,10.0,10.0,10.0,1.3911590713774085,0.9447946644547273,10.0,10.0,10.0,10.0,1.7447796157699167,0.9709742049720782,10.0,10.0,10.0,10.0,1.7687367036064174,0.9471476595169926
True,10.0,10.0,10.0,10.0,1.7589471553046743,0.939958327304631,10.0,10.0,10.0,10.0,1.6622285516534674,0.9627192637855251,10.0,10.0,10.0,10.0,1.7565287304829778,0.9259154808008041,10.0,10.0,10.0,10.0,1.1770198551048527,1.0074445361321747,10.0,10.0,10.0,10.0,1.106579189387835,0.9941916031347358
