CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,1.1301566985631224,0.993466754631309,10.0,10.0,10.0,10.0,1.230479170691159,0.9713485519595112,10.0,10.0,10.0,10.0,1.100173285154304,0.9892256145063751,10.0,10.0,10.0,10.0,1.0532314717342524,0.9731186936603393,10.0,10.0,10.0,10.0,1.0169709625146628,0.9831315323744759
True,10.0,10.0,10.0,10.0,1.2616499955592848,0.9893713688737378,10.0,10.0,10.0,10.0,1.172920662944859,0.9915057445645725,10.0,10.0,10.0,10.0,1.2448183829518165,0.9614036597703798,10.0,10.0,10.0,10.0,1.0192903652598782,0.9781663905569825,10.0,10.0,10.0,10.0,1.0353032718602608,0.9798808748341145
True,10.0,10.0,10.0,10.0,1.1874976141266331,0.9711614815437333,10.0,10.0,10.0,10.0,1.1903212467420872,0.9781315678518421,10.0,10.0,10.0,10.0,1.1013861915064496,0.949840510635843,10.0,10.0,10.0,10.0,0.9631874450781341,0.9790531962379058,10.0,10.0,10.0,10.0,0.9655676898708283,0.9873577772507305
True,10.0,10.0,10.0,10.0,1.0183499737169999,0.9808831578804542,10.0,10.0,10.0,10.0,1.4830124010363137,0.9345360644653606,10.0,10.0,10.0,10.0,1.076774988342077,0.9704588288387743,10.0,10.0,10.0,10.0,1.3306672032452966,0.9801592618051203,10.0,10.0,10.0,10.0,1.252572647198891,0.971078888280404
True,10.0,10.0,10.0,10.0,1.2415870117006695,0.9779896315826004,10.0,10.0,10.0,10.0,1.1489044467177658,0.9824765575314984,10.0,10.0,10.0,10.0,1.1514928199941026,0.9778379880666146,10.0,10.0,10.0,10.0,1.1591288006592078,0.9771775700871386,10.0,10.0,10.0,10.0,1.1277948321808289,0.9663383102351576
True,10.0,10.0,10.0,10.0,1.0827320425396938,0.9716655264064038,10.0,10.0,10.0,10.0,0.9287638748166381,0.964411910537933,10.0,10.0,10.0,10.0,1.2358709740616984,0.9719262662541486,10.0,10.0,10.0,10.0,1.3424997214379426,0.9895707854441044,10.0,10.0,10.0,10.0,1.4166094880342481,0.9729931106209186
True,10.0,10.0,10.0,10.0,1.1284599595615439,0.9646662740326057,10.0,10.0,10.0,10.0,1.279460281992186,0.9526467997038616,10.0,10.0,10.0,10.0,1.24714780284463,0.9300528546125697,10.0,10.0,10.0,10.0,0.9515913028017433,0.9717722359014879,10.0,10.0,10.0,10.0,0.8836559326090521,0.9746472844159333
True,10.0,10.0,10.0,10.0,1.0915799459354707,0.9807006428417602,10.0,10.0,10.0,10.0,1.1926543094930373,0.9685378529509927,10.0,10.0,10.0,10.0,1.1895487492078236,0.9488026211095878,10.0,10.0,10.0,10.0,1.086809051851875,0.9768463400079621,10.0,10.0,10.0,10.0,1.136436991828405,0.9765033548890557
True,10.0,10.0,10.0,10.0,1.0216411647762944,0.990100225423113,10.0,10.0,10.0,10.0,1.14260501067483,0.9792061302958845,10.0,10.0,10.0,10.0,1.1210160898893469,0.984490274465411,10.0,10.0,10.0,10.0,0.845340920553004,0.9260364272719004,10.0,10.0,10.0,10.0,0.8625093022985808,0.9332665744354752
True,10.0,10.0,10.0,10.0,1.0794776143187352,0.977101502175395,10.0,10.0,10.0,10.0,1.236454945827944,0.947268365154138,10.0,10.0,10.0,10.0,1.4314228649797132,0.9741157247418917,10.0,10.0,10.0,10.0,0.7688327126435194,0.9842416464884092,10.0,10.0,10.0,10.0,0.7891901461992794,0.9688211749961976
