CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds
True,10.0,10.0,10.0,10.0,0.631341688171912,0.9691012579576658,10.0,10.0,10.0,10.0,0.5743936377718831,0.9808780933435248,10.0,10.0,10.0,10.0,0.6596140406799406,0.9395571597797086,10.0,10.0,10.0,10.0,0.6108455803153396,0.9968220435226325,10.0,10.0,10.0,10.0,0.5180867238142988,1.0000872457355439
True,10.0,10.0,10.0,1.105042016806722,0.6484718336656301,0.9867402322413914,10.0,10.0,10.0,10.0,0.6314318571646991,0.9482186266963752,10.0,10.0,10.0,10.0,0.6865612162207403,0.9256641181887808,10.0,10.0,10.0,10.0,0.8159483535187775,0.9646878075557759,10.0,10.0,10.0,10.0,0.7772537084078375,0.975862830741729
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.594115369054954,0.9609779681473027,10.0,10.0,10.0,10.0,0.6669000001280615,0.988667748824466,10.0,10.0,10.0,10.0,0.7146297531786384,0.9334988996742115,10.0,10.0,10.0,1.016866308422991,0.49934377365613763,0.9708087141489135,10.0,10.0,10.0,1.016866308422991,0.49917862988269424,0.9820223347831385
True,10.0,10.0,10.0,10.0,0.6452683967108362,0.8773116714472773,10.0,10.0,10.0,10.0,0.7163606801033227,0.9485497377553423,10.0,10.0,10.0,10.0,0.5378416702573483,0.96669491239506,10.0,10.0,10.0,10.0,0.5814696185030017,0.9934998162520214,10.0,10.0,10.0,10.0,0.5426514020392741,0.9977722205778768
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.5755882475430176,0.9584128458921362,10.0,10.0,10.0,10.0,0.4179652730175971,1.0002704511682163,10.0,10.0,10.0,10.0,0.5443722613875168,0.9962564147563846
True,10.0,10.0,10.0,1.3591503267973857,0.6536593865274856,0.9929591408027392,10.0,10.0,10.0,1.3591503267973857,0.8542735634464902,0.9801729940844751,10.0,10.0,10.0,1.3591503267973857,0.6315148652244548,0.9788839377110141,10.0,10.0,10.0,1.3591503267973857,0.6284716615157712,0.9855529971091919,10.0,10.0,10.0,1.3591503267973857,0.6107869255231508,0.9960563090049256
True,10.0,10.0,10.0,10.0,0.4452964474624162,0.9929160056803514,10.0,10.0,10.0,10.0,0.5740645643887977,0.9838603640064706,10.0,10.0,10.0,10.0,0.6703552298370796,0.9516066322136554,10.0,10.0,10.0,10.0,0.510200237792442,0.9843042907671403,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,0.8476190476190476,0.5796104148891541,0.9968781113379188,10.0,0.35714285714285693,0.4904761904761904,0.8476190476190476,0.6819012526933933,0.9539568406022646,0.30158730158730157,0.43492063492063504,0.4904761904761904,0.8476190476190476,0.7153503077461326,0.9695255485233132,10.0,10.0,10.0,0.4918211894479715,0.4569469215355393,1.0021740235056344,10.0,10.0,10.0,0.4918211894479715,0.46725712066796204,0.9895726875359436
True,10.0,10.0,10.0,10.0,0.47786648998249,0.9812225591924584,10.0,10.0,10.0,10.0,0.6521600363165571,0.9684783427126034,10.0,10.0,10.0,10.0,0.5759187655928506,1.00081846738267,10.0,10.0,10.0,10.0,0.4619294380037779,0.9668236584925023,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.6963029941727666,0.9893482849201621,10.0,10.0,10.0,10.0,0.5404483352589381,0.9629277405290628,10.0,10.0,10.0,10.0,0.48266230420736467,0.9951821569109714,10.0,10.0,10.0,10.0,0.3694403111585522,0.9748326948175917,10.0,10.0,10.0,10.0,0.15423099309509541,0.966827110632672
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.9722685801804545,0.954428604665922,10.0,10.0,10.0,10.0,0.64692522419181,0.978992888451067,10.0,10.0,10.0,10.0,0.7312945745091629,0.9447656335026554,10.0,10.0,10.0,10.0,0.6461041982209991,0.9856915655160078,10.0,10.0,10.0,10.0,0.5545397563748036,1.0014254694698934
True,0.09523809523809519,0.3619047619047617,0.41746031746031703,0.4939483325424533,0.7716715254449483,0.9870086065674635,0.09523809523809519,0.3619047619047617,0.41746031746031703,0.4939483325424533,0.6404552218609574,0.9820112963640243,0.09523809523809519,0.3619047619047617,0.41746031746031703,0.4939483325424533,0.6768344824648547,0.9386903766728414,0.09523809523809519,0.3619047619047617,0.41746031746031703,0.7115779645191402,0.5469925021460305,0.9172067459261328,0.09523809523809519,0.3619047619047617,0.6560224089635849,0.7115779645191402,0.5433896594612438,0.9459459394061043
True,10.0,10.0,10.0,10.0,0.6499631718084509,0.9403330919766588,10.0,2.3137254901960778,3.170868347338936,3.3962651727357613,0.7218256795991811,0.9392283146053415,10.0,2.3137254901960778,3.170868347338936,10.0,0.5113207664468313,0.9373348878933274,10.0,10.0,10.0,10.0,0.970805193028472,0.8227985521670795,10.0,10.0,10.0,10.0,0.9897395217071775,0.8314159757940505
True,10.0,10.0,0.5714285714285714,1.3452380952380951,0.635988155177411,0.9657889508676474,0.8095238095238093,1.397759103641457,1.6199813258636793,1.8149718995237798,0.6643142615557885,0.9217913787116568,10.0,1.397759103641457,1.6199813258636793,1.8149718995237798,0.738650197528757,0.9641287452988893,10.0,10.0,0.5714285714285714,0.7664191450886719,0.7401338617135689,0.9729141890133451,10.0,10.0,1.6199813258636793,1.9864971629677513,0.756003001080684,0.9953237380431952
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,0.8888888888888884,10.0,10.0,2.769561157796452,0.4964473568993917,0.9764283366860417,10.0,10.0,10.0,10.0,0.8477743629778807,0.8626423596502398,10.0,10.0,10.0,10.0,0.8302785391346108,0.8775319153228043
True,10.0,10.0,10.0,1.1266219855389843,0.7416136601832333,0.9303884071351612,10.0,10.0,0.6104475832886321,1.1266219855389843,0.7300966279516518,0.903814122075606,10.0,10.0,0.6104475832886321,1.1266219855389843,0.7466426103834684,0.9544298512376482,10.0,10.0,0.6672382320375825,1.1266219855389843,0.4429822627091903,0.9233258407669531,10.0,0.5561271209264709,0.6672382320375825,1.1266219855389843,0.4860431333886184,0.8834671465753366
True,10.0,10.0,10.0,10.0,0.8006537691596141,0.9168060758784693,10.0,10.0,10.0,10.0,0.7499564686060156,0.9477801635101388,10.0,10.0,10.0,10.0,0.6370681787306581,0.9593265126448699,10.0,10.0,10.0,10.0,0.6233686160628693,0.9861993737137587,10.0,10.0,10.0,10.0,0.6033417568660839,0.9983782548950051
True,10.0,10.0,10.0,1.6145308720489704,0.6287301900667118,0.9891228613543657,10.0,10.0,10.0,10.0,0.5610135602145349,0.9882223153865226,10.0,10.0,10.0,1.2679389019275884,0.6380301737772806,0.9827663775142745,10.0,10.0,10.0,1.6145308720489704,0.6438143051237052,0.9999250283351548,10.0,10.0,10.0,10.0,0.5490484179839135,0.996036466949304
True,10.0,10.0,10.0,10.0,0.8357266686280355,0.9504161704187097,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.7094788418760996,0.9879258071652911,10.0,10.0,10.0,10.0,0.6093457972430656,0.9679472715900757
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.6223115880265077,0.9695262147019793,10.0,10.0,10.0,10.0,0.91012116289535,0.978796809412961,10.0,10.0,10.0,10.0,0.6167356191332123,0.9522435062313118
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,1.1966142770193824,0.8239870680987927,10.0,10.0,10.0,10.0,0.7929397461357374,0.9466830145219516,10.0,10.0,10.0,10.0,0.6017961099748289,0.9480368770446013,10.0,10.0,10.0,10.0,0.6583599730490021,0.9650713586254618,10.0,10.0,10.0,10.0,0.6043124160003851,0.970942735507237
True,10.0,10.0,10.0,10.0,0.5948243695904469,0.9855555641062882,10.0,10.0,10.0,10.0,0.4609018254694148,0.9733716756464229,10.0,10.0,10.0,10.0,0.6827808754715744,0.9427804741533743,10.0,10.0,10.0,10.0,0.5680225193421128,0.9942564934421497,10.0,10.0,10.0,10.0,0.5180232960272959,1.006781248403379
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.6051715785626366,0.9790572996714199,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.6380007894092861,1.0010825837181243,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.6082069111725692,0.9264871107532168,10.0,10.0,10.0,10.0,0.6588362293410024,0.995291068667839,10.0,10.0,10.0,10.0,0.5842490447975631,0.9490046616235324,10.0,10.0,10.0,10.0,0.5784191967742645,1.0017787514168357,10.0,10.0,10.0,10.0,0.5346150935859079,0.9645986412382008
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.6749133298364127,0.840880561368191,10.0,10.0,10.0,10.0,0.4411188109181756,0.9920314078121708,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.5867173602583954,0.9799829053376282,10.0,10.0,10.0,10.0,0.655893296605919,0.9728676463462523,10.0,10.0,10.0,10.0,0.7411992492323705,0.9626710859065417,10.0,10.0,10.0,10.0,0.5498045109559041,0.9885939753147104,10.0,10.0,10.0,10.0,0.5512976515841224,0.9810635509214318
True,10.0,10.0,10.0,10.0,0.9050481961923167,0.912141125650297,10.0,10.0,10.0,10.0,0.7237327156423123,0.9130104401123675,10.0,10.0,10.0,10.0,0.9081923368366596,0.9492107909134375,10.0,10.0,10.0,1.208181112466548,0.33046867004388547,1.0012068219424788,10.0,10.0,10.0,10.0,0.41594653501559076,1.01149514984634
True,10.0,10.0,10.0,10.0,0.527809604683459,0.9608986739258608,10.0,10.0,10.0,10.0,0.6707868465937918,0.951508680398047,10.0,10.0,10.0,10.0,0.5213560783125175,0.995005973663772,10.0,10.0,10.0,10.0,0.515488849320135,0.9564008551103624,10.0,10.0,10.0,10.0,0.7231012907365857,0.9700693920137077
True,10.0,10.0,10.0,10.0,0.5799464060049996,0.9739158799537069,10.0,10.0,10.0,10.0,0.6386875519993854,0.9475929632129253,10.0,10.0,10.0,10.0,0.4335641827250174,0.9870674770786163,10.0,10.0,10.0,10.0,0.20630601410907,0.9638211254629192,10.0,10.0,10.0,10.0,0.2785026633292202,0.9763462317463325
True,10.0,10.0,10.0,10.0,0.5911820120057615,1.003094713145485,10.0,10.0,10.0,10.0,0.6622888125974705,0.9673978871987006,10.0,10.0,10.0,10.0,0.5570043620899544,0.9562549429893409,10.0,10.0,10.0,10.0,0.6827532509647645,0.939281115961944,10.0,10.0,10.0,10.0,0.6757284294910048,0.9660334494872778
True,10.0,10.0,10.0,1.103304336367818,0.5860896327118372,0.94697229022436,10.0,10.0,10.0,1.103304336367818,0.5575431601146568,0.9815243025773952,10.0,10.0,10.0,1.103304336367818,0.6167473956180378,0.925584407526961,10.0,10.0,10.0,1.103304336367818,0.6457403391445607,0.9976236258672015,10.0,10.0,10.0,1.103304336367818,0.49079328800184074,0.9900725481574177
True,10.0,10.0,10.0,10.0,0.6012687399234985,0.9675686332825009,10.0,10.0,10.0,10.0,0.7967082983807783,0.9454474895079368,10.0,10.0,10.0,10.0,0.7222529764812197,0.9724819377502726,10.0,10.0,10.0,0.6155745151099448,0.5524379095643684,0.962374302774251,10.0,10.0,10.0,10.0,0.6005519102447592,0.9571452691898932
True,10.0,10.0,10.0,10.0,0.8453922626994899,0.8517938316133522,10.0,10.0,10.0,10.0,0.5601888522014439,0.9689626397792381,10.0,10.0,10.0,10.0,0.632079749448656,0.9650729207913467,10.0,10.0,10.0,10.0,0.18895140176663952,0.9683142192521142,10.0,10.0,10.0,10.0,0.046452364776203,0.9793921721495323
True,10.0,10.0,10.0,10.0,0.7628445306518737,0.9223923381118718,10.0,10.0,10.0,10.0,0.5932821353236986,0.9666962704505455,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.7521904594045076,0.9983737546530259,10.0,10.0,10.0,10.0,0.7907393312605879,0.9644770016124358
True,10.0,10.0,10.0,10.0,0.7128926738540333,0.9596849458391589,10.0,10.0,10.0,10.0,0.47746413817266253,0.9453665533947049,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.5054576825915452,0.9870219570006439,10.0,10.0,10.0,10.0,0.5817813637377504,0.9982761365647411
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.5791105124172501,0.9666462928748315,10.0,10.0,10.0,10.0,0.6834224384932074,0.9655306737628834,10.0,10.0,10.0,10.0,0.7969908734807246,0.9980298960894197,10.0,10.0,0.4562594268476624,0.7641959347841705,0.38689008433709826,0.9984715839983773,10.0,10.0,10.0,0.7810707477173365,0.40045527729412067,0.9995470701844893
True,10.0,10.0,0.23434650455927838,0.7623000910571687,0.8107650494519076,0.9872286300929902,10.0,10.0,0.19047619047619135,0.495390561287807,0.4455389955753112,0.9966878323186249,10.0,10.0,0.19047619047619135,0.495390561287807,0.699367615577383,0.9232259098676447,10.0,10.0,0.6011904761904759,0.9331232492997195,0.5840193838373158,0.809174435322762,10.0,10.0,0.23434650455927838,0.5392608753708941,0.20581614504333817,0.8981379502565652
True,10.0,10.0,10.0,10.0,0.6412354052621675,0.9450476469501579,10.0,10.0,10.0,10.0,0.6227731775427295,0.9122961451753238,10.0,10.0,10.0,10.0,0.6235282206005752,0.9343066612470226,10.0,10.0,10.0,10.0,0.41644337814065635,0.963347674466495,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.5667612699492646,0.9895643169407687,10.0,10.0,10.0,10.0,0.6200523005629954,0.9779549445299516,10.0,10.0,10.0,10.0,0.5952731660705237,0.9846803535092921,10.0,10.0,10.0,10.0,0.3839789862122018,1.0013788389067106
True,10.0,10.0,10.0,10.0,0.6464798891067534,0.9587559523969432,10.0,10.0,10.0,10.0,0.5125832776819385,0.9775306996052782,10.0,10.0,10.0,10.0,0.5560030909600002,0.9657801968393944,10.0,10.0,10.0,10.0,0.5313516982687866,1.0097373938121788,10.0,10.0,10.0,10.0,0.5087638377924972,0.9887304937822284
True,10.0,10.0,10.0,10.0,0.6484505696732203,0.9987330665612882,10.0,10.0,10.0,10.0,0.5333268686591349,0.9523829811674103,10.0,10.0,10.0,10.0,0.6039005454727736,0.9773216293208247,10.0,10.0,10.0,10.0,0.6174661559245456,0.9897358392919138,10.0,10.0,10.0,10.0,0.6151576972330175,0.9568105193498434
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,0.8557422969187686,0.7431496709888874,0.9462724338949252,10.0,0.5238095238095236,10.0,1.1417079652373774,0.49012602109711806,0.954207294031089,10.0,0.5238095238095236,10.0,1.1417079652373774,0.5391163228002502,0.9686840636148286,10.0,10.0,10.0,10.0,0.5421702150289985,0.9894357676519082,10.0,10.0,10.0,1.1417079652373774,0.5466776601108102,0.9936162125953547
True,10.0,10.0,10.0,10.0,0.7817983385588649,0.9478519668815009,10.0,10.0,10.0,10.0,0.6438549380331751,0.9703740215187784,10.0,10.0,10.0,10.0,0.5979993262904727,0.9674125747046898,10.0,10.0,10.0,10.0,0.504425720370575,0.9535148125133498,10.0,10.0,10.0,10.0,0.4814191965152559,0.9925612609079625
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.7026268506058525,0.9055278527593863,10.0,10.0,10.0,10.0,0.6473314262199443,0.9320169585569962,10.0,10.0,10.0,10.0,0.6488284856326556,0.9907449435673433,10.0,10.0,10.0,10.0,0.5804889896107953,0.991959731029937
True,10.0,0.7918552036199094,1.1447963800904977,1.8749551102492301,0.5957980067735659,0.984143607808502,10.0,10.0,10.0,1.5778708757115312,0.6280307009762061,0.9685516412887016,10.0,0.7918552036199094,0.839474251238957,1.5778708757115312,0.5471224742987836,0.9522180243260976,10.0,0.7918552036199094,0.839474251238957,1.525748761042879,0.5235278820745775,0.9374457040943762,10.0,0.7918552036199094,0.839474251238957,1.5778708757115312,0.47514987395165403,0.9736453841980222
True,10.0,10.0,10.0,10.0,0.5971144028748816,0.9601184681947996,10.0,10.0,10.0,10.0,0.6531496889616999,0.9483148356038864,10.0,10.0,10.0,10.0,0.47614387980950895,0.9860673915480895,10.0,10.0,10.0,10.0,0.7283517054762896,0.9610000692181193,10.0,10.0,10.0,10.0,0.7271568091545173,0.9679418503467216
True,10.0,10.0,10.0,10.0,0.6407354506601113,0.9528780664559529,10.0,10.0,10.0,10.0,0.5532945301057679,0.9761195356245855,10.0,10.0,10.0,10.0,0.6811369587778603,0.9605028735950333,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,0.6176086766101697,0.9623921291045952
True,10.0,0.3869047619047618,0.44246031746031717,0.6076636570778822,0.7294149072569776,0.914262802926036,10.0,10.0,10.0,10.0,0.6175815528269124,0.9526104619609637,10.0,10.0,10.0,10.0,0.5810175468112042,0.982879562265245,10.0,10.0,10.0,10.0,0.49189032337582683,1.005347441323771,10.0,10.0,10.0,0.6941482509154161,0.46548813680624057,1.0082276235297378
True,10.0,10.0,10.0,2.3770680235466126,0.7494951293376,0.9384221184367563,10.0,10.0,10.0,2.3770680235466126,0.5689558023148455,0.9454995749407675,10.0,10.0,10.0,2.3770680235466126,0.6132010147240003,0.9458492326350727,10.0,10.0,10.0,2.3770680235466126,0.7256975316225451,0.9678636047325064,10.0,10.0,10.0,2.3770680235466126,0.6055256521892559,0.9780508421128655
True,10.0,10.0,10.0,10.0,0.5890334762956213,0.9205574119140559,10.0,10.0,10.0,10.0,0.5340099378415419,0.9761563072578576,10.0,10.0,10.0,10.0,0.5908903406418703,0.9643925963714104,10.0,10.0,10.0,10.0,0.5706799723314766,0.9946295021352218,10.0,10.0,10.0,10.0,0.5375347998535582,1.0125301590749884
True,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,0.5084033613445361,10.0,0.7755204878432914,0.9504346315508313,10.0,10.0,0.5425758489049627,0.6705900333021346,0.5937421174809275,0.9677306137744285,10.0,10.0,0.3190476190476186,0.6616234679525814,0.5333823591092899,0.9911887835574078,10.0,10.0,10.0,0.4061822188943204,0.522485841963445,0.9878570146209167,10.0,10.0,0.3190476190476186,0.6616234679525814,0.5098958747046842,0.9692642533673628
True,10.0,10.0,10.0,10.0,0.6499233238955469,0.984845840632072,10.0,10.0,10.0,10.0,0.4062444261126192,0.9896840452165845,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,10.0,0.7264214835693446,0.9488435622278786,10.0,10.0,10.0,10.0,0.6398669756513166,0.987320112819304,10.0,10.0,10.0,10.0,0.6859266374689666,0.9730841673087334,10.0,10.0,10.0,10.0,0.6880709092054028,0.9341270573206367,10.0,10.0,10.0,10.0,,
True,10.0,10.0,10.0,1.1569327731092447,0.6100829035631387,0.9545051423361857,10.0,10.0,0.9916666666666666,1.2514617239300783,0.8128350928569763,0.9613343188082469,10.0,10.0,0.9916666666666666,1.5313492063492065,0.5504528074844738,0.9766968497000169,10.0,10.0,10.0,0.9765545979591036,0.7432408043730201,0.9839559464308285,10.0,10.0,10.0,0.9765545979591036,0.7443178162178614,0.9895367899033285
True,10.0,10.0,10.0,10.0,0.5815670577304253,0.9843073364994069,10.0,10.0,10.0,10.0,0.5545921758581571,0.9846539272679122,10.0,10.0,10.0,10.0,0.6559047514683096,0.9342963162774962,10.0,10.0,10.0,10.0,0.6428870963167597,0.9976499087254702,10.0,10.0,10.0,10.0,0.582062310091091,0.9530288822689116
True,10.0,10.0,10.0,10.0,0.7724117799377104,0.9388437299828508,10.0,10.0,10.0,10.0,0.5565129319565313,0.9645372690853039,10.0,10.0,10.0,10.0,0.6549206917069996,0.9530240700347085,10.0,10.0,10.0,10.0,0.6439249693927035,0.9878924631417643,10.0,10.0,10.0,10.0,0.5613013891063748,0.915741422753708
