CF_SHAP_knn_success,SHAP_TRAIN_CA_top1,SHAP_TRAIN_CA_top2,SHAP_TRAIN_CA_top3,SHAP_TRAIN_CA_top5,SHAP_TRAIN_plausibility,SHAP_TRAIN_bds,SHAP_D_LAB_CA_top1,SHAP_D_LAB_CA_top2,SHAP_D_LAB_CA_top3,SHAP_D_LAB_CA_top5,SHAP_D_LAB_plausibility,SHAP_D_LAB_bds,SHAP_D_PRED_CA_top1,SHAP_D_PRED_CA_top2,SHAP_D_PRED_CA_top3,SHAP_D_PRED_CA_top5,SHAP_D_PRED_plausibility,SHAP_D_PRED_bds,CF_SHAP_CA_top1,CF_SHAP_CA_top2,CF_SHAP_CA_top3,CF_SHAP_CA_top5,CF_SHAP_plausibility,CF_SHAP_bds,INSTANCE_SHAP_CA_top1,INSTANCE_SHAP_CA_top2,INSTANCE_SHAP_CA_top3,INSTANCE_SHAP_CA_top5,INSTANCE_SHAP_plausibility,INSTANCE_SHAP_bds
True,10.0,10.0,10.0,10.0,1.857010780313384,0.9615303681740798,10.0,10.0,10.0,10.0,1.437239942638311,0.9821467836495992,10.0,10.0,10.0,10.0,1.2874017804162907,0.9854401563055116,10.0,10.0,10.0,10.0,1.478423228813457,0.991634680872169,10.0,10.0,10.0,10.0,1.5512885967037786,0.9702791160705088
True,10.0,10.0,10.0,10.0,1.72891748579379,0.9211786586180318,10.0,10.0,10.0,10.0,1.4834026602412105,0.9623386728263864,10.0,10.0,10.0,10.0,1.709824241971304,0.9389407151522356,10.0,10.0,10.0,10.0,1.5155132903639086,0.9425400791720202,10.0,10.0,10.0,10.0,1.6522830257112129,0.9375287648765285
True,10.0,10.0,10.0,10.0,1.621227442313791,0.972141714330944,10.0,10.0,10.0,10.0,1.7492198930111595,0.9511359849279896,10.0,10.0,10.0,10.0,1.5492144844240168,0.9236470308310728,10.0,10.0,10.0,10.0,1.2899927187952671,0.9782924677689604,10.0,10.0,10.0,10.0,1.2692780256459542,0.9962518676434013
True,10.0,10.0,10.0,10.0,2.115787103482813,0.9092772354339356,10.0,10.0,10.0,10.0,1.7006307442214277,0.9021115657756448,10.0,10.0,10.0,10.0,1.344514486704013,0.9458949421933324,10.0,10.0,10.0,10.0,1.264983826230779,0.988031374317396,10.0,10.0,10.0,10.0,1.3581076292134364,0.9752884351813502
True,10.0,10.0,10.0,10.0,1.3947802797203728,0.9724164336928788,10.0,10.0,10.0,10.0,1.1717518183664646,0.9924792313517722,10.0,10.0,10.0,10.0,1.309760272012124,0.9439376945686588,10.0,10.0,10.0,10.0,1.4413945485680912,0.9891675538051232,10.0,10.0,10.0,10.0,1.4174521589536735,0.9893784758347968
True,10.0,10.0,10.0,10.0,1.6072487482780928,0.9318448102553044,10.0,10.0,10.0,10.0,1.4931568647636957,0.9606237149882764,10.0,10.0,10.0,10.0,1.4766395643248569,0.9616235340071144,10.0,10.0,10.0,1.751470588235294,1.1905608117416293,0.9857031508964568,10.0,10.0,10.0,2.2688775510204082,1.2625238740811233,0.9672552914577934
True,10.0,10.0,10.0,10.0,1.83818655737892,0.8899675958343464,10.0,10.0,10.0,10.0,1.564836737552985,0.9563346280429668,10.0,10.0,10.0,10.0,2.142950653516055,0.918642580304294,10.0,10.0,10.0,10.0,1.084019997288746,0.9822508350862484,10.0,10.0,10.0,10.0,1.0745411969299163,0.9941479273957856
True,10.0,10.0,0.7551020408163265,1.3369202226345085,1.4841302835498418,0.9863669130554286,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.2551020408163267,1.6051711466250336,0.9686684262264406,0.4,1.1551020408163266,1.1551020408163266,1.4369202226345086,1.7433777168624438,0.9427174420726366,0.7551020408163265,1.1551020408163266,1.1551020408163266,1.5732838589981448,1.59570315717821,0.969760646643506,0.7551020408163265,0.7551020408163265,1.1551020408163266,1.6551020408163266,1.6332680883938615,0.9681435916960692
True,10.0,10.0,10.0,10.0,1.6180728220988565,0.9418141017212768,10.0,10.0,10.0,10.0,2.075811732859461,0.952904148068724,10.0,10.0,10.0,10.0,1.6641952055512004,0.9449170215781852,10.0,10.0,10.0,10.0,1.7718512892616822,0.9858006173451648,10.0,10.0,10.0,10.0,1.8279639084550154,0.9578210756910964
True,10.0,10.0,10.0,10.0,1.8476069751674444,0.9430246232297728,10.0,10.0,10.0,10.0,1.7467645822414002,0.9158686471113276,10.0,10.0,10.0,10.0,1.7271903630322196,0.944197228087316,10.0,10.0,10.0,10.0,0.9676042215332168,0.9969270165251009,10.0,10.0,10.0,10.0,1.1030306367797094,0.9944866141751927
